text,label
"I love this product, it is amazing!",1
"This is the worst experience ever",0
"So happy to see my friends today",1
"I hate this bug and it keeps failing",0
"What a fantastic day and great news",1
"This service is terrible and useless",0
"I am so excited about my new phone",1
"This update is broken and very slow",0
"Amazing support and great customer service",1
"I dislike this app because it crashes",0
"Wonderful experience and I recommend it",1
"The worst possible quality I have seen",0
"I feel happy and proud today",1
"I cannot stand this annoying error",0
"Fantastic results and easy to use",1
"This product disappoints me badly",0
"Love the design and fast performance",1
"Terrible battery life and disappointing",0
"Great job, this is excellent work",1
"I am frustrated with this failure",0
